SKU,Demanda,Qty,Máquina,TR min/u,Er,%U,%Srap,(1-Scrap),Vi,Takt Time Meta min/U,Horas Disponibles por Turno,Turnos disponibles al día
TC5VS0712T79BEI1P,62,2.48,M2,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79BLA1P,6265,250.6,M3,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79CAF1P,1351,54.04,M1,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79CEL1P,1920,76.8,M2,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79GRC1P,1891,75.64,M3,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79KAK1P,46,1.84,M1,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79MUS1P,461,18.44,M2,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79NEG1P,2643,105.72,M3,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79PIE1P,1542,61.68,M1,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79ROJ1P,3,0.12,M2,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79VIN1P,6,0.24,M3,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79VOS1P,192,7.68,M1,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79AMA1P,326,13.04,M2,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79AZU1P,227,9.08,M3,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79BLA1P,118,4.72,M1,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79CAF1P,433,17.32,M2,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79CEL1P,6,0.24,M3,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79GRI1P,251,10.04,M1,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79MUS1P,223,8.92,M2,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79NEG1P,39,1.56,M3,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79ROJ1P,5,0.2,M1,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79ROS1P,275,11,M2,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79VOS1P,477,19.08,M3,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012AZU1P,334,13.36,M1,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012BEI1P,582,23.28,M2,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012BLA1P,442,17.68,M3,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012CAF1P,200,8,M1,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012GRC1P,154,6.16,M2,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012GOS1P,587,23.48,M3,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012MUS1P,324,12.96,M1,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012NEG1P,27,1.08,M2,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012PIE1P,574,22.96,M3,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012VEM1P,515,20.6,M1,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0631T1012AMA1P,554,22.16,M2,288.64,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0631T1012AZU1P,324,12.96,M3,288.64,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0631T1012BLA1P,28,1.12,M1,288.64,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0631T1012ROJ1P,156,6.24,M2,288.64,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0631T1012ROS1P,74,2.96,M3,288.64,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0631T85AZU1P,209,8.36,M1,218.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0631T85BLA1P,658,26.32,M2,218.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0631T85PIE1P,204,8.16,M3,223.98,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0631T79AZU1P,243,9.72,M1,220.48,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0631T79BLA1P,896,35.84,M2,220.48,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0631T79AMA1P,339,13.56,M3,228.99,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0631T79CEL1P,271,10.84,M1,228.99,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0631T79ROJ1P,588,23.52,M2,228.99,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0631T79ROS1P,606,24.24,M3,228.99,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0644T13BLA1P,5090,203.6,M1,182,0.9,0.85,0.1,0.9,0.9,544.33,8,1
