SKU,Demanda,Qty,Máquina,TR min/u,Er,%U,%Srap,(1-Scrap),Vi,Takt Time Meta min/U,Horas Disponibles por Turno,Turnos disponibles al día,TR min/u total,Tci min/kilo,Tc/TktT,No MQ,Takt Time Prod. Min/Un,Minutos disponibles por mes-turno,Minutos totales de carga,HORAS EXTRA
TC4VS0644T85BLA1P,2518,100.72,M2,404.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1,40706.995200000005,34950.45042424243,64.20820168692232,65.0,537.6992372960374,9600,54157.067180456885,742.6177863409481
TC4VS0644T79BLA1P,2833,113.32,M3,403.33,0.9,0.85,0.1,0.9,0.9,544.33,8,1,45705.355599999995,39241.97197979797,72.09224547571871,73.0,537.5612599972325,9600,60916.44198288638,855.2740330481064
TC2VS0600T1012AMA1P,969,38.76,M1,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1,13337.316,11451.23090909091,21.037295223652762,22.0,520.5104958677686,9600,20174.986819834707,176.24978033057843
TC2VS0600T1012AZU1P,360,14.4,M2,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1,4955.040000000001,4254.327272727273,7.815713395784309,8.0,531.7909090909092,9600,7657.789090909092,0.0
TC2VS0600T1012BLA1P,1500,60.0,M3,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1,20646.0,17726.363636363636,32.565472482434615,33.0,537.1625344352617,9600,32229.752066115703,377.1625344352617
TC2VS0600T1012CEL1P,606,24.24,M1,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1,8340.984,7161.450909090909,13.156450882903584,14.0,511.53220779220777,9600,12399.540716883115,46.65901194805192
TC2VS0600T1012PIE1P,360,14.4,M2,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1,4955.040000000001,4254.327272727273,7.815713395784309,8.0,531.7909090909092,9600,7657.789090909092,0.0
TC2VS0600T1012ROJ1P,753,30.12,M3,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1,10364.292000000001,8898.634545454546,16.347867186182178,17.0,523.449090909091,9600,15766.28661818182,102.77144363636368
TC2VS0600T1012ROS1P,480,19.2,M1,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1,6606.72,5672.436363636363,10.420951194379077,11.0,515.6760330578512,9600,9900.979834710743,5.016330578512377
TC2VS0600T85AMA1P,2060,82.4,M2,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1,28163.496000000003,24180.779393939396,44.423014336779886,45.0,537.3506531986533,9600,44277.69382356903,577.9615637261505
TC2VS0600T85AZU1P,578,23.12,M3,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1,7902.184800000001,6784.704121212122,12.464321498378046,13.0,521.9003170163171,9600,12066.335329417252,41.10558882362087
TC2VS0600T85BEI1P,28,1.12,M1,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1,382.80480000000006,328.67078787878796,0.6038079618591442,1.0,328.67078787878796,9600,368.1112824242426,0.0
TC2VS0600T85BLA1P,2100,84.0,M2,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1,28710.36,24650.309090909093,45.28559713943581,46.0,535.8762845849803,9600,45013.60790513835,590.2267984189725
TC2VS0600T85CEL1P,945,37.8,M3,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1,12919.662,11092.63909090909,20.378518712746107,21.0,528.220909090909,9600,19966.750363636358,172.77917272727262
TC2VS0600T85NEG1P,611,24.44,M1,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1,8353.347600000001,7172.066121212122,13.17595231056918,14.0,512.2904372294373,9600,12520.37828588745,48.67297143145749
TC2VS0600T85PIE1P,732,29.28,M2,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1,10007.611200000001,8592.393454545456,15.785265288603338,16.0,537.024590909091,9600,15724.080021818185,102.06800036363641
TC2VS0600T85ROJ1P,1069,42.76,M3,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1,14614.9404,12548.181151515151,23.052525400979462,24.0,522.8408813131313,9600,22356.676084949493,212.61126808249156
TC2VS0600T85ROS1P,660,26.4,M1,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1,9023.256,7747.239999999999,14.232616243822678,15.0,516.4826666666665,9600,13635.142399999995,67.25237333333325
TC4VS0600T79AMA1P,2576,103.04,M2,345.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1,35565.286400000005,30535.851959595962,56.098050740535996,57.0,535.7167010455432,9600,55200.24887573278,760.0041479288797
TC4VS0600T79AZU1P,514,20.56,M3,345.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1,7096.4896,6092.945616161617,11.193477515774653,12.0,507.7454680134681,9600,10439.246822356903,13.987447039281717
TC4VS0600T79BLA1P,1515,60.6,M1,345.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1,20916.696000000004,17958.779393939396,32.99244831984163,33.0,544.2054361799817,9600,32978.84943250689,389.6474905417815
TC4VS0600T79CEL1P,696,27.84,M2,345.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1,9609.2544,8250.369939393939,15.156926752877736,16.0,515.6481212121212,9600,14355.643694545453,79.26072824242422
TC4VS0600T79PIE1P,240,9.6,M3,345.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1,3313.536,2844.955151515151,5.226526466509564,6.0,474.15919191919187,9600,4551.928242424242,0.0
TC4VS0600T79ROJ1P,988,39.52,M1,345.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1,13640.723200000002,11711.732040404042,21.515867287131044,22.0,532.3514563820019,9600,21038.529556216716,190.6421592702786
TC4VS0600T79ROS1P,636,25.44,M2,345.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1,8780.870400000002,7539.131151515153,13.850295136250349,14.0,538.509367965368,9600,13699.678321038964,68.32797201731607
TC5VS0712T85AZU1P,3546,141.84,M3,326.76,0.9,0.85,0.1,0.9,0.9,544.33,8,1,46347.6384,39793.426909090915,73.1053348319786,74.0,537.7490122850123,9600,76274.31990250615,1111.238665041769
TC5VS0712T85BEH1P,298,11.92,M1,326.76,0.9,0.85,0.1,0.9,0.9,544.33,8,1,3894.9791999999998,3344.1740606060603,6.143651940194478,7.0,477.7391515151515,9600,5694.650686060606,0.0
TC5VS0712T85BEI1P,6,0.24,M2,326.76,0.9,0.85,0.1,0.9,0.9,544.33,8,1,78.4224,67.33236363636362,0.12369769007102974,1.0,67.33236363636362,9600,16.15976727272727,0.0
